,id,link,gia_tien,RAM,ROM,CPU,Man_hinh,camera_sau,camera_truoc,kich_thuoc,radio,thoi_diem ra mat,rating,ghi_am
0,232364,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a12-6gb,4.490.000₫ ,6 GB,128 GB,MediaTek Helio G35 8 nhân,PLS TFT LCD,"Chính 48 MP & Phụ 5 MP, 2 MP, 2 MP",8 MP,Dài 164 mm - Ngang 75.8 mm - Dày 8.9 mm,Đang cập nhật,12/2020,2.6666666666666665,
1,220654,https://www.dienmayxanh.com/dien-thoai/oppo-a92,5.590.000₫,8 GB,128 GB,Snapdragon 665 8 nhân,TFT LCD,"Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP",16 MP,Dài 162 mm - Ngang 75.5 mm - Dày 8.9 mm,Có,05/2020,3.4895833333333335,Có
2,213031,https://www.dienmayxanh.com/dien-thoai/iphone-12,19.290.000₫,4 GB,64 GB,Apple A14 Bionic 6 nhân,OLED,2 camera 12 MP,12 MP,Dài 146.7 mm - Ngang 71.5 mm - Dày 7.4 mm,,10/2020,5.0,Có (microphone chuyên dụng chống ồn)
3,217308,https://www.dienmayxanh.com/dien-thoai/xiaomi-redmi-9,3.590.000₫,4 GB,64 GB,MediaTek Helio G80 8 nhân,IPS LCD,"Chính 13 MP & Phụ 8 MP, 5 MP, 2 MP",8 MP,Dài 163.32 mm - Ngang 77.1 mm - Dày 9.1 mm,Có,06/2020,4.1466666666666665,Có (microphone chuyên dụng chống ồn)
4,225380,https://www.dienmayxanh.com/dien-thoai/iphone-12-mini,16.890.000₫,4 GB,64 GB,Apple A14 Bionic 6 nhân,OLED,2 camera 12 MP,12 MP,Dài 131.5 mm - Ngang 64.2 mm - Dày 7.4 mm,,10/2020,3.6666666666666665,Có (microphone chuyên dụng chống ồn)
5,230525,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a02s,3.190.000₫,3 GB,32 GB,Snapdragon 450 8 nhân,PLS TFT LCD,"Chính 13 MP & Phụ 2 MP, 2 MP",5 MP,Dài 164.2 mm - Ngang 75.9 mm - Dày 9.1 mm,Đang cập nhật,12/2020,5.0,
6,227681,https://www.dienmayxanh.com/dien-thoai/realme-c17,4.760.000₫,6 GB,128 GB,Snapdragon 460 8 nhân,IPS LCD,"Chính 13 MP & Phụ 8 MP, 2 MP, 2 MP",8 MP,Dài 164.1 mm - Ngang 75.5 mm - Dày 8.9 mm,Có,11/2020,4.8076923076923075,Có
7,229947,https://www.dienmayxanh.com/dien-thoai/vivo-y12s,3.190.000₫,3 GB,32 GB,MediaTek Helio P35 8 nhân,IPS LCD,Chính 13 MP & Phụ 2 MP,8 MP,Dài 164.41 mm - Ngang 76.32 mm - Dày 8.41 mm,Có,10/2020,3.892857142857143,Có
8,232668,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-z-fold2-5g-dac-biet,,,,,,,,,,,0.0,
9,226099,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-z-fold-2,36.000.000₫ ,12 GB,256 GB,Snapdragon 865+ 8 nhân,"Chính: Dynamic AMOLED, Phụ: Super AMOLED",3 camera 12 MP,10 MP,Mở: Dài 159.2 mm - Ngang 128.2 mm - Dày 6.9 mm; Gập: Dài 159.2 mm - Ngang 68 mm - Dày 16.8 mm,,09/2020,4.928571428571429,
10,228744,https://www.dienmayxanh.com/dien-thoai/iphone-12-pro-max-512gb,39.990.000₫ ,6 GB,512 GB,Apple A14 Bionic 6 nhân,OLED,3 camera 12 MP,12 MP,Dài 160.8 mm - Ngang 78.1 mm - Dày 7.4 mm,,10/2020,4.0,Có (microphone chuyên dụng chống ồn)
11,228739,https://www.dienmayxanh.com/dien-thoai/iphone-12-pro-512gb,33.990.000₫ ,6 GB,512 GB,Apple A14 Bionic 6 nhân,OLED,3 camera 12 MP,12 MP,Dài 146.7 mm - Ngang 71.5 mm - Dày 7.4 mm,,10/2020,0.0,Có (microphone chuyên dụng chống ồn)
12,210654,https://www.dienmayxanh.com/dien-thoai/iphone-11-pro-max-512gb,39.990.000₫ ,4 GB,512 GB,Apple A13 Bionic 6 nhân,OLED,3 camera 12 MP,12 MP,Dài 158 mm - Ngang 77.8 mm - Dày 8.1 mm,,11/2019,3.347826086956522,Có (microphone chuyên dụng chống ồn)
13,228743,https://www.dienmayxanh.com/dien-thoai/iphone-12-pro-max-256gb,34.990.000₫ ,6 GB,256 GB,Apple A14 Bionic 6 nhân,OLED,3 camera 12 MP,12 MP,Dài 160.8 mm - Ngang 78.1 mm - Dày 7.4 mm,,10/2020,5.0,Có (microphone chuyên dụng chống ồn)
14,213022,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-z-flip,30.990.000₫,8 GB,256 GB,Snapdragon 855+ 8 nhân,"Chính: Dynamic AMOLED, Phụ: Super AMOLED",2 camera 12 MP,10 MP,Dài 167.3 mm - Ngang 73.6 mm - Dày 7.2 mm,,02/2020,4.166666666666667,Có (microphone chuyên dụng chống ồn)
15,228738,https://www.dienmayxanh.com/dien-thoai/iphone-12-pro-256gb,35.990.000₫,6 GB,256 GB,Apple A14 Bionic 6 nhân,OLED,3 camera 12 MP,12 MP,Dài 146.7 mm - Ngang 71.5 mm - Dày 7.4 mm,,10/2020,4.0,Có (microphone chuyên dụng chống ồn)
16,213033,https://www.dienmayxanh.com/dien-thoai/iphone-12-pro-max,26.990.000₫,6 GB,128 GB,Apple A14 Bionic 6 nhân,OLED,3 camera 12 MP,12 MP,Dài 160.8 mm - Ngang 78.1 mm - Dày 7.4 mm,,10/2020,4.9,Có (microphone chuyên dụng chống ồn)
17,230867,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-note-20-ultra-5g-trang,30.990.000₫,12 GB,256 GB,Exynos 990 8 nhân,Dynamic AMOLED 2X,"Chính 108 MP & Phụ 12 MP, 12 MP, cảm biến Laser AF",10 MP,Dài 164.8 mm - Ngang 77.2 mm - Dày 8.1 mm,,11/2020,5.0,Có (microphone chuyên dụng chống ồn)
18,225063,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-note-20-ultra-5g,30.990.000₫,12 GB,256 GB,Exynos 990 8 nhân,Dynamic AMOLED 2X,"Chính 108 MP & Phụ 12 MP, 12 MP, cảm biến Laser AF",10 MP,Dài 164.8 mm - Ngang 77.2 mm - Dày 8.1 mm,,08/2020,4.086956521739131,Có (microphone chuyên dụng chống ồn)
19,210655,https://www.dienmayxanh.com/dien-thoai/iphone-11-pro-256gb,26.990.000₫,4 GB,256 GB,Apple A13 Bionic 6 nhân,OLED,3 camera 12 MP,12 MP,Dài 144 mm - Ngang 71.4 mm - Dày 8.1 mm,,11/2019,3.5,Có (microphone chuyên dụng chống ồn)
20,213032,https://www.dienmayxanh.com/dien-thoai/iphone-12-pro,26.990.000₫,6 GB,128 GB,Apple A14 Bionic 6 nhân,OLED,3 camera 12 MP,12 MP,Dài 146.7 mm - Ngang 71.5 mm - Dày 7.4 mm,,10/2020,5.0,Có (microphone chuyên dụng chống ồn)
21,220522,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-note-20-ultra,30.990.000₫,8 GB,256 GB,Exynos 990 8 nhân,Dynamic AMOLED 2X,"Chính 108 MP & Phụ 12 MP, 12 MP, cảm biến Laser AF",10 MP,Dài 164.8 mm - Ngang 77.2 mm - Dày 8.1 mm,,08/2020,4.361702127659575,Có (microphone chuyên dụng chống ồn)
22,228737,https://www.dienmayxanh.com/dien-thoai/iphone-12-256gb,24.990.000₫,4 GB,256 GB,Apple A14 Bionic 6 nhân,OLED,2 camera 12 MP,12 MP,Dài 146.7 mm - Ngang 71.5 mm - Dày 7.4 mm,,10/2020,1.0,Có (microphone chuyên dụng chống ồn)
23,228736,https://www.dienmayxanh.com/dien-thoai/iphone-12-128gb,23.990.000₫,4 GB,128 GB,Apple A14 Bionic 6 nhân,OLED,2 camera 12 MP,12 MP,Dài 146.7 mm - Ngang 71.5 mm - Dày 7.4 mm,,10/2020,3.25,Có (microphone chuyên dụng chống ồn)
24,228742,https://www.dienmayxanh.com/dien-thoai/iphone-12-mini-256gb,20.390.000₫,4 GB,256 GB,Apple A14 Bionic 6 nhân,OLED,2 camera 12 MP,12 MP,Dài 131.5 mm - Ngang 64.2 mm - Dày 7.4 mm,,10/2020,0.0,Có (microphone chuyên dụng chống ồn)
25,217936,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-s20-plus,22.990.000₫,8 GB,128 GB,Exynos 990 8 nhân,Dynamic AMOLED 2X,"Chính 12 MP & Phụ 64 MP, 12 MP, TOF 3D",10 MP,Dài 161.9 mm - Ngang 73.7 mm - Dày 7.8 mm,,02/2020,3.8354430379746836,Có (microphone chuyên dụng chống ồn)
26,218355,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-note-20,22.990.000₫,8 GB,256 GB,Exynos 990 8 nhân,Super AMOLED Plus,"Chính 12 MP & Phụ 64 MP, 12 MP",10 MP,Dài 161.6 mm - Ngang 72.5 mm - Dày 8.3 mm,,08/2020,3.5348837209302326,Có (microphone chuyên dụng chống ồn)
27,228741,https://www.dienmayxanh.com/dien-thoai/iphone-12-mini-128gb,21.990.000₫,4 GB,128 GB,Apple A14 Bionic 6 nhân,OLED,2 camera 12 MP,12 MP,Dài 131.5 mm - Ngang 64.2 mm - Dày 7.4 mm,,10/2020,3.0,Có (microphone chuyên dụng chống ồn)
28,198150,https://www.dienmayxanh.com/dien-thoai/oppo-find-x2,21.990.000₫,12 GB,256 GB,Snapdragon 865 8 nhân,AMOLED,"Chính 48 MP & Phụ 13 MP, 12 MP",32 MP,Dài 164.9 mm - Ngang 74.5 mm - Dày 8 mm,,03/2020,4.657894736842105,Có (microphone chuyên dụng chống ồn)
29,214638,https://www.dienmayxanh.com/dien-thoai/oneplus-8-pro,21.990.000₫,12 GB,256 GB,Snapdragon 865 8 nhân,AMOLED,"Chính 48 MP & Phụ 48 MP, 8 MP, 5 MP",16 MP,Dài 165.3 mm - Ngang 74.3 mm - Dày 8.5 mm,,08/2020,4.785714285714286,Có
30,210648,https://www.dienmayxanh.com/dien-thoai/iphone-11-256gb,20.390.000₫,4 GB,256 GB,Apple A13 Bionic 6 nhân,IPS LCD,2 camera 12 MP,12 MP,Dài 150.9 mm - Ngang 75.7 mm - Dày 8.3 mm,,11/2019,5.0,Có (microphone chuyên dụng chống ồn)
31,210644,https://www.dienmayxanh.com/dien-thoai/iphone-11-128gb,21.990.000₫,4 GB,128 GB,Apple A13 Bionic 6 nhân,IPS LCD,2 camera 12 MP,12 MP,Dài 150.9 mm - Ngang 75.7 mm - Dày 8.3 mm,,11/2019,4.095238095238095,Có (microphone chuyên dụng chống ồn)
32,217935,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-s20,17.990.000₫,8 GB,128 GB,Exynos 990 8 nhân,Dynamic AMOLED 2X,"Chính 12 MP & Phụ 64 MP, 12 MP",10 MP,Dài 151.7 mm - Ngang 69.1 mm - Dày 7.9 mm,,02/2020,4.25,Có (microphone chuyên dụng chống ồn)
33,223290,https://www.dienmayxanh.com/dien-thoai/vivo-x50-pro,17.490.000₫,8 GB,256 GB,Snapdragon 765G 8 nhân,AMOLED,"Chính 48 MP & Phụ 13 MP, 8 MP, 8 MP",32 MP,Dài 158.46 mm - Ngang 72.8 mm - Dày 8.04 mm,,07/2020,2.7333333333333334,Có
34,153856,https://www.dienmayxanh.com/dien-thoai/iphone-11,19.290.000₫,4 GB,64 GB,Apple A13 Bionic 6 nhân,IPS LCD,2 camera 12 MP,12 MP,Dài 150.9 mm - Ngang 75.7 mm - Dày 8.3 mm,,11/2019,3.978723404255319,Có (microphone chuyên dụng chống ồn)
35,226460,https://www.dienmayxanh.com/dien-thoai/oneplus-8t,16.490.000₫,12 GB,256 GB,Snapdragon 865 8 nhân,AMOLED,"Chính 48 MP & Phụ 16 MP, 5 MP, 2 MP",16 MP,Dài 160.7 mm - Ngang 74.1 mm - Dày 8.4 mm,,10/2020,4.555555555555555,Có
36,190323,https://www.dienmayxanh.com/dien-thoai/iphone-xs,16.890.000₫,4 GB,64 GB,Apple A12 Bionic 6 nhân,OLED,2 camera 12 MP,7 MP,Dài 143.6 mm - Ngang 70.9 mm - Dày 7.7 mm,,11/2018,3.4272727272727272,Có (microphone chuyên dụng chống ồn)
37,206176,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-note-10-plus,17.490.000₫,12 GB,256 GB,Exynos 9825 8 nhân,Dynamic AMOLED,"Chính 12 MP & Phụ 12 MP, 16 MP, TOF 3D",10 MP,Dài 162.3 mm - Ngang 77.2 mm - Dày 7.9 mm,,08/2019,4.117647058823529,Có (microphone chuyên dụng chống ồn)
38,230411,https://www.dienmayxanh.com/dien-thoai/iphone-se-256gb-2020-hop-moi,13.990.000₫,3 GB,256 GB,Apple A13 Bionic 6 nhân,IPS LCD,12 MP,7 MP,Dài 138.4 mm - Ngang 67.3 mm - Dày 7.3 mm,,10/2020,0.0,Có
39,222631,https://www.dienmayxanh.com/dien-thoai/iphone-se-256gb-2020,11.790.000₫,3 GB,256 GB,Apple A13 Bionic 6 nhân,IPS LCD,12 MP,7 MP,Dài 138.4 mm - Ngang 67.3 mm - Dày 7.3 mm,,06/2020,4.0,Có
40,224859,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-s20-fan-edition,13.490.000₫,8 GB,128 GB,Exynos 990 8 nhân,Super AMOLED,"Chính 12 MP & Phụ 12 MP, 8 MP",32 MP,Dài 159.8 mm - Ngang 74.5 mm - Dày 8.4 mm,,09/2020,1.5,
41,194251,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-s10-lite,8.490.000₫,8 GB,128 GB,Snapdragon 855 8 nhân,Super AMOLED,"Chính 48 MP & Phụ 12 MP, 5 MP",32 MP,Dài 162.5 mm - Ngang 75.6 mm - Dày 8.1 mm,,02/2020,3.7037037037037037,Có (microphone chuyên dụng chống ồn)
42,190325,https://www.dienmayxanh.com/dien-thoai/iphone-xr,480.000₫ ,3 GB,64 GB,Apple A12 Bionic 6 nhân,IPS LCD,12 MP,7 MP,Dài 150.9 mm - Ngang 75.7 mm - Dày 8.3 mm,,11/2018,4.386666666666667,Có (microphone chuyên dụng chống ồn)
43,216172,https://www.dienmayxanh.com/dien-thoai/oppo-reno3-pro,12.490.000₫,8 GB,256 GB,MediaTek Helio P95 8 nhân,Sunlight Super AMOLED,"Chính 64 MP & Phụ 13 MP, 8 MP, 2 MP",Chính 44 MP & Phụ 2 MP,Dài 158.8 mm - Ngang 73.4 mm - Dày 8.1 mm,Có,04/2020,3.3225806451612905,Có (microphone chuyên dụng chống ồn)
44,225535,https://www.dienmayxanh.com/dien-thoai/oneplus-nord-5g,8.490.000₫,12 GB,256 GB,Snapdragon 765G 8 nhân,Fluid AMOLED,"Chính 48 MP & Phụ 8 MP, 5 MP, 2 MP",Chính 32 MP & Phụ 8 MP,Dài 158.2 mm - Ngang 73.2 mm - Dày 8.2 mm,,08/2020,3.7142857142857144,Có
45,222629,https://www.dienmayxanh.com/dien-thoai/iphone-se-128gb-2020,11.790.000₫,3 GB,128 GB,Apple A13 Bionic 6 nhân,IPS LCD,12 MP,7 MP,Dài 138.4 mm - Ngang 67.3 mm - Dày 7.3 mm,,06/2020,4.666666666666667,Có
46,230412,https://www.dienmayxanh.com/dien-thoai/iphone-se-128gb-2020-hop-moi,13.990.000₫,3 GB,128 GB,Apple A13 Bionic 6 nhân,IPS LCD,12 MP,7 MP,Dài 138.4 mm - Ngang 67.3 mm - Dày 7.3 mm,,10/2020,2.0,Có
47,219898,https://www.dienmayxanh.com/dien-thoai/nokia-83,12.990.000₫ ,8 GB,128 GB,Snapdragon 765G 8 nhân,LCD,"Chính 64 MP & Phụ 12 MP, 2 MP, 2 MP",24 MP,Dài 171.9 mm - Ngang 78.56 mm - Dày 8.99 mm,Có,10/2020,4.041666666666667,
48,228136,https://www.dienmayxanh.com/dien-thoai/xiaomi-mi-10t-pro,9.490.000₫,8 GB,256 GB,Snapdragon 865 8 nhân,IPS LCD,"Chính 108 MP & Phụ 13 MP, 5 MP",20 MP,Dài 165.1 mm - Ngang 76.4 mm - Dày 9.33 mm,,09/2020,3.573170731707317,Có
49,149456,https://www.dienmayxanh.com/dien-thoai/iphone-se-2020,10.490.000₫,3 GB,64 GB,Apple A13 Bionic 6 nhân,IPS LCD,12 MP,7 MP,Dài 138.4 mm - Ngang 67.3 mm - Dày 7.3 mm,,06/2020,3.938775510204082,Có
50,230410,https://www.dienmayxanh.com/dien-thoai/iphone-se-64gb-2020-hop-moi,4.690.000₫ ,3 GB,64 GB,Apple A13 Bionic 6 nhân,IPS LCD,12 MP,7 MP,Dài 138.4 mm - Ngang 67.3 mm - Dày 7.3 mm,,10/2020,1.0,Có
51,223497,https://www.dienmayxanh.com/dien-thoai/oppo-reno4-pro,11.490.000₫ ,8 GB,256 GB,Snapdragon 720G 8 nhân,AMOLED,"Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP",32 MP,Dài 160.3 mm - Ngang 73.9 mm - Dày 7.7 mm,Có,07/2020,4.173913043478261,Có
52,214909,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-note-10-lite,11.990.000₫ ,8 GB,128 GB,Exynos 9810 8 nhân,Super AMOLED,3 camera 12 MP,32 MP,Dài 163.7 mm - Ngang 76.1 mm - Dày 8.7 mm,Có,01/2020,3.049382716049383,Có (microphone chuyên dụng chống ồn)
53,210246,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a71,8.990.000₫,8 GB,128 GB,Snapdragon 730 8 nhân,Super AMOLED,"Chính 64 MP & Phụ 12 MP, 5 MP, 5 MP",32 MP,Dài 163.6 mm - Ngang 76 mm - Dày 7.7 mm,Có,01/2020,3.448202959830867,Có (microphone chuyên dụng chống ồn)
54,87837,https://www.dienmayxanh.com/dien-thoai/iphone-7-128gb,11.790.000₫,2 GB,128 GB,Apple A10 Fusion 4 nhân,LED-backlit IPS LCD,12 MP,7 MP,Dài 138.3 mm - Ngang 67.1 mm - Dày 7.1 mm,,11/2016,3.388888888888889,Có (microphone chuyên dụng chống ồn)
